top speed,cost new,weight in pounds,miles per gallon,popular color,Target Centroid
222,159329,5849,13,ultraviolet red,(top speed:189-cost new:145563)
206,157509,2859,32,black,(top speed:179-cost new:193725)
185,157545,2976,49,ultraviolet red,(top speed:174-cost new:162919)
147,165208,3882, ,red,(top speed:174-cost new:162919)
207,162821,4897,43,sunburst red,(top speed:189-cost new:145563)
191,164914,3675,46,bright red,(top speed:174-cost new:162919)
207,118623,3877,50,ultraviolet red,(top speed:189-cost new:145563)
208,182676,0,27,bright red,(top speed:179-cost new:193725)
200,138642,4121,14,bright red,(top speed:189-cost new:145563)
171,136727,5445,36,ultraviolet red,(top speed:174-cost new:162919)
152,nan,4481,50,bright red,(top speed:189-cost new:145563)
167,198323,3662,20,glowing red,(top speed:179-cost new:193725)
176,214122,3664,49,ultraviolet red,(top speed:179-cost new:193725)
208,145517,5608,41,glowing red,(top speed:189-cost new:145563)
 ,173389,1,54, ,(top speed:179-cost new:193725)
154,118620,5959,41,ultraviolet red,(top speed:189-cost new:145563)
186,159249,4532,21,ultraviolet red,(top speed:174-cost new:162919)
217,145536,3326,20,black,(top speed:189-cost new:145563)
155,47714,5530,19,bright red,(top speed:189-cost new:145563)
168,155847,4075,40,ultraviolet red,(top speed:174-cost new:162919)
168,221347,2923,47,ultraviolet red,(top speed:179-cost new:193725)
219,152233,3191,44,red,(top speed:189-cost new:145563)
201,142772,4187,nan,glowing red,(top speed:174-cost new:162919)
191,188056,3336,45,black,(top speed:174-cost new:162919)
167,157600,3740,28,black,(top speed:179-cost new:193725)
nan,137040,3778,31,black,(top speed:189-cost new:145563)
155,143722,3761,32,red,(top speed:189-cost new:145563)
209,205465,2628,23,red,(top speed:179-cost new:193725)
175,172256, ,31,red,(top speed:179-cost new:193725)
184,190065,nan,38,black,(top speed:179-cost new:193725)
173,175250,5927,14,sunburst red,(top speed:174-cost new:162919)
177,171127,4424,20,bright red,(top speed:189-cost new:145563)
146,153863,2537,20,sunburst red,(top speed:174-cost new:162919)
196,204779,5723,18,red,(top speed:179-cost new:193725)
216,155997,3176,nan,glowing red,(top speed:189-cost new:145563)
202,213741,None,26,ultraviolet red,(top speed:179-cost new:193725)
156,164926,3219,46,ultraviolet red,(top speed:174-cost new:162919)
187,160030,5683,18,bright red,(top speed:174-cost new:162919)
180,132711,3720,14,ultraviolet red,(top speed:189-cost new:145563)
214,206295,2607,27,bright red,(top speed:189-cost new:145563)
152,171141,4737,40,red,(top speed:179-cost new:193725)
139,167484,5185,42,0,(top speed:174-cost new:162919)
164,143298,3813,0,ultraviolet red,(top speed:174-cost new:162919)
171,154925,3878,11,bright red,(top speed:174-cost new:162919)
183,161729,5374,50,sunburst red,(top speed:189-cost new:145563)
179,208526,2646,39,0,(top speed:179-cost new:193725)
151,172195,2890,30,ultraviolet red,(top speed:179-cost new:193725)
191, ,2870,43,red,(top speed:174-cost new:162919)
163,127675,3769,36,red,(top speed:189-cost new:145563)
169,173891,4766,19,sunburst red,(top speed:174-cost new:162919)
176,162194,3669,36,ultraviolet red,(top speed:174-cost new:162919)
152,199514,3990,54,red,(top speed:179-cost new:193725)
207,231816,4848,32,black,(top speed:179-cost new:193725)
151,203200,2980,50,red,(top speed:179-cost new:193725)
190,191357,2661,12,bright red,(top speed:179-cost new:193725)
198,184973,3228,25,black,(top speed:174-cost new:162919)
191,189026,2820,33,sunburst red,(top speed:174-cost new:162919)
163,191558,3521,36,glowing red,(top speed:174-cost new:162919)
1,173278,2621,41,glowing red,(top speed:179-cost new:193725)
169,208372,5299,30,black,(top speed:179-cost new:193725)
177,60223,3505,48,ultraviolet red,(top speed:189-cost new:145563)
1,200052,4672,44,black,(top speed:179-cost new:193725)
nan,173263,5888,28,red,(top speed:179-cost new:193725)
168,160729,5224,53,sunburst red,(top speed:174-cost new:162919)
208,181372,4100,48,bright red,(top speed:174-cost new:162919)
195,None,3350,18,red,(top speed:179-cost new:193725)
176,133989,4566,23,black,(top speed:174-cost new:162919)
148,188719,5984,14,black,(top speed:179-cost new:193725)
190,123564,4802,25,ultraviolet red,(top speed:189-cost new:145563)
202,167546,4239,17,1,(top speed:189-cost new:145563)
163,0,5713,31,glowing red,(top speed:189-cost new:145563)
205,148997,5263,40,ultraviolet red,(top speed:189-cost new:145563)
226,149104,3435,35,ultraviolet red,(top speed:189-cost new:145563)
204,130495,0,None,red,(top speed:174-cost new:162919)
177,149230,4168,12,bright red,(top speed:189-cost new:145563)
162,229312,3908,20,ultraviolet red,(top speed:179-cost new:193725)
169,171768,3810,31,glowing red,(top speed:174-cost new:162919)
206,193209,3257,32,glowing red,(top speed:174-cost new:162919)
188,0,4765,51,bright red,(top speed:189-cost new:145563)
None,143365,3847,15,black,(top speed:189-cost new:145563)
0,125997,3738,41,black,(top speed:189-cost new:145563)
152,162613,3937,54,glowing red,(top speed:189-cost new:145563)
192,156400,5099,16,bright red,(top speed:189-cost new:145563)
0,229532,5436,49,red,(top speed:179-cost new:193725)
225,122670,3418,53,red,(top speed:189-cost new:145563)
170,152001,4994,16,red,(top speed:189-cost new:145563)
204,160051,2576,30,glowing red,(top speed:174-cost new:162919)
156,144478,4022,34,glowing red,(top speed:189-cost new:145563)
0,185012,3823,55,ultraviolet red,(top speed:179-cost new:193725)
155,224380,5207,34,sunburst red,(top speed:179-cost new:193725)
160,120308,3762,55,black,(top speed:189-cost new:145563)
206,139106,2821,46,bright red,(top speed:189-cost new:145563)
149,186171,5901,14,sunburst red,(top speed:174-cost new:162919)
207,228334,3294,38,black,(top speed:179-cost new:193725)
152,168398,4168,nan,ultraviolet red,(top speed:174-cost new:162919)
172,146707,3414,44,red,(top speed:189-cost new:145563)
172,191506,5499, ,glowing red,(top speed:174-cost new:162919)
200,118317,2912,16,red,(top speed:189-cost new:145563)
182,130694,5471,19, ,(top speed:174-cost new:162919)
186,177207,3028,14,red,(top speed:179-cost new:193725)
165,176043,2818,15,red,(top speed:174-cost new:162919)
175,146337,5748,38,glowing red,(top speed:189-cost new:145563)
170,194975,3287,17,sunburst red,(top speed:174-cost new:162919)
203,1,5876,24,ultraviolet red,(top speed:189-cost new:145563)
206,230479,3758,16,sunburst red,(top speed:179-cost new:193725)
201,193483,3042,39,ultraviolet red,(top speed:179-cost new:193725)
203,213765,4374, ,ultraviolet red,(top speed:179-cost new:193725)
None,173809,4058,43,glowing red,(top speed:179-cost new:193725)
206,158947,3850,20,black,(top speed:189-cost new:145563)
201,184709,5704,40,ultraviolet red,(top speed:174-cost new:162919)
208, ,2841,40,red,(top speed:189-cost new:145563)
197,156718,5042,13,ultraviolet red,(top speed:189-cost new:145563)
158,160842, ,20,black,(top speed:174-cost new:162919)
203,205810,4559,19,ultraviolet red,(top speed:179-cost new:193725)
198,165523,5844,0,red,(top speed:179-cost new:193725)
147,150619,5568,None,glowing red,(top speed:174-cost new:162919)
221,123787,3801,15,glowing red,(top speed:189-cost new:145563)
165,148431,5407,1,ultraviolet red,(top speed:174-cost new:162919)
171,156243,5703,27,glowing red,(top speed:174-cost new:162919)
0,136179,3186,45,black,(top speed:174-cost new:162919)
206,133084,5576,16,ultraviolet red,(top speed:174-cost new:162919)
193,164114,3877,41,red,(top speed:189-cost new:145563)
161,169760,5422,33,glowing red,(top speed:174-cost new:162919)
224,143356,3727,38,ultraviolet red,(top speed:189-cost new:145563)
172,157686,4016,50,red,(top speed:189-cost new:145563)
195,213822,4275,14,ultraviolet red,(top speed:179-cost new:193725)
174,209832,5316,14,ultraviolet red,(top speed:179-cost new:193725)
149,193941,3746,51,bright red,(top speed:179-cost new:193725)
157,231486,4188,43,black,(top speed:179-cost new:193725)
188,84513,3645,45,black,(top speed:174-cost new:162919)
181,176415,5670,13,ultraviolet red,(top speed:174-cost new:162919)
208,175306,2607,47,ultraviolet red,(top speed:174-cost new:162919)
182,134149,4836,24,glowing red,(top speed:189-cost new:145563)
159,183620,4472,24,ultraviolet red,(top speed:174-cost new:162919)
174,193939,4412,19,bright red,(top speed:189-cost new:145563)
145,149376,2560,38,ultraviolet red,(top speed:174-cost new:162919)
226,162538,4858,0,red,(top speed:189-cost new:145563)
202,137021,5642,43,sunburst red,(top speed:189-cost new:145563)
190,None,1,22,glowing red,(top speed:189-cost new:145563)
179,171053,3389,22,black,(top speed:189-cost new:145563)
222,167024,4356,46,black,(top speed:189-cost new:145563)
162,157530,5887,51,bright red,(top speed:179-cost new:193725)
173,214897,3652,10,ultraviolet red,(top speed:179-cost new:193725)
166,132244,3187,39,bright red,(top speed:189-cost new:145563)
202,187846,3229,43,0,(top speed:179-cost new:193725)
209,199818,2719,10,glowing red,(top speed:179-cost new:193725)
166,193053,3943,18,bright red,(top speed:174-cost new:162919)
162,203243,4250,38,ultraviolet red,(top speed:179-cost new:193725)
210,130932,5770,15,ultraviolet red,(top speed:189-cost new:145563)
171,145224,3712,55,bright red,(top speed:189-cost new:145563)
202,215157,1,38,ultraviolet red,(top speed:179-cost new:193725)
153,122486,4392,36,sunburst red,(top speed:189-cost new:145563)
196,215822,5212,29,ultraviolet red,(top speed:179-cost new:193725)
191,161904,5721,16,sunburst red,(top speed:179-cost new:193725)
177,230628,3158,38,red,(top speed:179-cost new:193725)
194,180174,5801,13,bright red,(top speed:174-cost new:162919)
156,157800,4489,41,0,(top speed:179-cost new:193725)
144,159952,4248,31,sunburst red,(top speed:174-cost new:162919)
175,171337,4240,14,sunburst red,(top speed:174-cost new:162919)
146,189681,4948,55,bright red,(top speed:174-cost new:162919)
206,161334,3032,45,ultraviolet red,(top speed:179-cost new:193725)
164,192694,3863,47,sunburst red,(top speed:174-cost new:162919)
204,126139,3381,52,sunburst red,(top speed:189-cost new:145563)
151,160851,3853,15,None,(top speed:179-cost new:193725)
222,128990,5519,27,sunburst red,(top speed:189-cost new:145563)
216,170436,4829,51,ultraviolet red,(top speed:189-cost new:145563)
149,180881,5099,10,sunburst red,(top speed:174-cost new:162919)
187,139042,3916,14,sunburst red,(top speed:174-cost new:162919)
193,173690,2607,42,sunburst red,(top speed:189-cost new:145563)
167,30217,4901,29,sunburst red,(top speed:174-cost new:162919)
167,1,5758,10,glowing red,(top speed:174-cost new:162919)
193,212129,4879,0,sunburst red,(top speed:179-cost new:193725)
181,197156,2710,16,ultraviolet red,(top speed:179-cost new:193725)
164,173609,nan,28,bright red,(top speed:174-cost new:162919)
199,169820,4683,54,red,(top speed:174-cost new:162919)
167,215616,2669,48,red,(top speed:179-cost new:193725)
206,197640,3857,35,ultraviolet red,(top speed:179-cost new:193725)
198,188152,3443,44,sunburst red,(top speed:174-cost new:162919)
174,178804,4593,54,red,(top speed:174-cost new:162919)
214,163683,5523,45,bright red,(top speed:179-cost new:193725)
187,226029,4249,20,red,(top speed:179-cost new:193725)
144,194266,5816,51,black,(top speed:174-cost new:162919)
176,186952,3354,43,sunburst red,(top speed:174-cost new:162919)
141,142967,5127,44,glowing red,(top speed:174-cost new:162919)
175,176898,5557,27,red,(top speed:179-cost new:193725)
172,181875,3585,43,black,(top speed:174-cost new:162919)
202,125957,3981,48,sunburst red,(top speed:189-cost new:145563)
223,156197,5763,29,sunburst red,(top speed:189-cost new:145563)
190,158840,4699,38,bright red,(top speed:189-cost new:145563)
169,170926,4844,28,black,(top speed:174-cost new:162919)
171,163084,2877,17,black,(top speed:179-cost new:193725)
144,141582,5706,21,bright red,(top speed:174-cost new:162919)
206,156892,2827,29,bright red,(top speed:189-cost new:145563)
192,207055,3806,45,red,(top speed:179-cost new:193725)
167,185737,2986,37,ultraviolet red,(top speed:179-cost new:193725)
180,1,3204,35,sunburst red,(top speed:189-cost new:145563)
191,193470,4351,30,red,(top speed:179-cost new:193725)
168,160487,2552,37,ultraviolet red,(top speed:189-cost new:145563)
142,181621,4593,28,bright red,(top speed:174-cost new:162919)
160,163382,5039,12,glowing red,(top speed:189-cost new:145563)
140,146631,5395,13,sunburst red,(top speed:174-cost new:162919)
198,158111,5329,37,sunburst red,(top speed:189-cost new:145563)
169,149237,4503,17,black,(top speed:189-cost new:145563)
213,198479,3852,46,bright red,(top speed:179-cost new:193725)
161,159978,3322,27,bright red,(top speed:189-cost new:145563)
183,174009,3983,49,ultraviolet red,(top speed:189-cost new:145563)
159,150422,5576,43,ultraviolet red,(top speed:189-cost new:145563)
181,149171,3482,55,sunburst red,(top speed:189-cost new:145563)
184,208819,3386,26,red,(top speed:179-cost new:193725)
172,120431,3126,36,bright red,(top speed:189-cost new:145563)
1,170446,4288,28,black,(top speed:174-cost new:162919)
218,126588,4579,46,bright red,(top speed:189-cost new:145563)
152,169918,0,41,sunburst red,(top speed:189-cost new:145563)
152,196820,4571,12, ,(top speed:179-cost new:193725)
196,129484,2747,34,ultraviolet red,(top speed:189-cost new:145563)
181, ,4934,42,ultraviolet red,(top speed:189-cost new:145563)
203,178719,5233,13,bright red,(top speed:174-cost new:162919)
222,138141,5152,24,black,(top speed:189-cost new:145563)
188,146950,5409,36,sunburst red,(top speed:174-cost new:162919)
171,122288,3580,40,ultraviolet red,(top speed:189-cost new:145563)
186,193862,4245,48,red,(top speed:174-cost new:162919)
169,231163,5216,31,glowing red,(top speed:179-cost new:193725)
175,205637,3875,32,black,(top speed:179-cost new:193725)
163,135254,3485,44,red,(top speed:189-cost new:145563)
168,172468,1,17,red,(top speed:189-cost new:145563)
210,159782,5621,49,sunburst red,(top speed:179-cost new:193725)
197,221101,5321,40,sunburst red,(top speed:179-cost new:193725)
165,219225,0,12,red,(top speed:179-cost new:193725)
151,189070,4669,10,glowing red,(top speed:179-cost new:193725)
163,158804,5174,31,ultraviolet red,(top speed:179-cost new:193725)
157,202499,4078,23,red,(top speed:179-cost new:193725)
158,143159,2783,38,glowing red,(top speed:189-cost new:145563)
196,200364,3832,12, ,(top speed:179-cost new:193725)
187,163807,5461,13,glowing red,(top speed:174-cost new:162919)
173,156180,3945,44,red,(top speed:174-cost new:162919)
145,153738,3830,16,bright red,(top speed:174-cost new:162919)
202,134822,4784,49,ultraviolet red,(top speed:189-cost new:145563)
183,54004,4097,48,black,(top speed:189-cost new:145563)
223,173295,3241,11,red,(top speed:189-cost new:145563)
178,166521,4337,38,black,(top speed:174-cost new:162919)
183,158607,3896,34,sunburst red,(top speed:189-cost new:145563)
166,215288,4697,38,red,(top speed:179-cost new:193725)
181,142318,2818,44,black,(top speed:174-cost new:162919)
157,175863,3277,31,sunburst red,(top speed:179-cost new:193725)
178,175445,3383,40,black,(top speed:174-cost new:162919)
156,172880,3329,18,ultraviolet red,(top speed:174-cost new:162919)
214,163071,4560,25,red,(top speed:179-cost new:193725)
211,192942,5955,47,red,(top speed:179-cost new:193725)
176,178296,2795,40,ultraviolet red,(top speed:179-cost new:193725)
207,216921,3750,34,ultraviolet red,(top speed:179-cost new:193725)
197,199994,3609,14,bright red,(top speed:179-cost new:193725)
159,133712,3863,33,bright red,(top speed:189-cost new:145563)
168,136446,3443,38,red,(top speed:174-cost new:162919)
151,180332,4107,18,black,(top speed:179-cost new:193725)
155,182381,nan,43,nan,(top speed:179-cost new:193725)
199,142745,5527,44,glowing red,(top speed:189-cost new:145563)
152,146154,4413,40,sunburst red,(top speed:189-cost new:145563)
150,145090,4340,49,sunburst red,(top speed:174-cost new:162919)
160,169695,3120,47,ultraviolet red,(top speed:174-cost new:162919)
203,163488,5964,19,ultraviolet red,(top speed:179-cost new:193725)
176,141302,5163,20,red,(top speed:174-cost new:162919)
207,140743,3126,29,ultraviolet red,(top speed:189-cost new:145563)
166,167694,3522,13,black,(top speed:189-cost new:145563)
205,184526,1, ,bright red,(top speed:174-cost new:162919)
157,166466,3796,29,bright red,(top speed:174-cost new:162919)
160,189614,5134,47,glowing red,(top speed:174-cost new:162919)
225,163313,5292,34,ultraviolet red,(top speed:189-cost new:145563)
163,157045,4655,14,black,(top speed:179-cost new:193725)
210,181041,5156,12,ultraviolet red,(top speed:179-cost new:193725)
166,136167,3441,27,bright red,(top speed:174-cost new:162919)
184,131672,3739,38,nan,(top speed:174-cost new:162919)
205,164328,4207,24,nan,(top speed:189-cost new:145563)
146,165495, ,13,glowing red,(top speed:174-cost new:162919)
177,192194,4555,51,red,(top speed:179-cost new:193725)
216,158817, ,36,glowing red,(top speed:189-cost new:145563)
166,214023,4970,22,sunburst red,(top speed:189-cost new:145563)
170,193886,nan,49,black,(top speed:179-cost new:193725)
192,105553,4098,50,sunburst red,(top speed:179-cost new:193725)
181,166050,4474,42,ultraviolet red,(top speed:189-cost new:145563)
None,145175,5686,15,ultraviolet red,(top speed:189-cost new:145563)
183,161121,5553,48,sunburst red,(top speed:174-cost new:162919)
169,207257,3425,28,red,(top speed:179-cost new:193725)
168,136879,4395,16,None,(top speed:174-cost new:162919)
1,165880,3414,48,bright red,(top speed:174-cost new:162919)
189,189260,3101,20,black,(top speed:174-cost new:162919)
190,167973,5375,27,glowing red,(top speed:174-cost new:162919)
194,134953,5769,44,red,(top speed:189-cost new:145563)
177,71161,5882,25,red,(top speed:189-cost new:145563)
178,156464,2631,21,red,(top speed:179-cost new:193725)
205,181594,4836,50,glowing red,(top speed:174-cost new:162919)
148,159136,3598,19,red,(top speed:174-cost new:162919)
215,167826,5569,51,bright red,(top speed:189-cost new:145563)
151,201322,5895,34,red,(top speed:179-cost new:193725)
194,57152, ,45,black,(top speed:174-cost new:162919)
156,212063,4153,1,black,(top speed:179-cost new:193725)
163,168911,4612,1,red,(top speed:174-cost new:162919)
168,148368,3759,36,ultraviolet red,(top speed:174-cost new:162919)
162,175873,5826,17,black,(top speed:179-cost new:193725)
198,148643,3286,50,bright red,(top speed:189-cost new:145563)
199,145037,2754,17,black,(top speed:189-cost new:145563)
190,133845,3161,16,ultraviolet red,(top speed:174-cost new:162919)
218,147604,4801,43,bright red,(top speed:189-cost new:145563)
186,171594,4822,40,black,(top speed:174-cost new:162919)
183,165268,3335,55,sunburst red,(top speed:189-cost new:145563)
150,176719,5694,32,ultraviolet red,(top speed:179-cost new:193725)
174,165822,4705,35,black,(top speed:174-cost new:162919)
210,173873,3193,40,bright red,(top speed:189-cost new:145563)
173,175865,3241,53,red,(top speed:189-cost new:145563)
159,162152,3602,21,bright red,(top speed:189-cost new:145563)
171,156636,5219,18,bright red,(top speed:174-cost new:162919)
192,145402,2867,29,sunburst red,(top speed:189-cost new:145563)
148,183068,4163,25,bright red,(top speed:174-cost new:162919)
190,198368,3159,42,bright red,(top speed:179-cost new:193725)
183,133022,2682,20,red,(top speed:189-cost new:145563)
220,126533,3528,25,black,(top speed:189-cost new:145563)
169,156880,3149,50,sunburst red,(top speed:179-cost new:193725)
161,153299,3354,36,red,(top speed:174-cost new:162919)
179,184491,4163,26,bright red,(top speed:174-cost new:162919)
197,171257,3393,21,black,(top speed:189-cost new:145563)
186,200890,None,50,bright red,(top speed:179-cost new:193725)
156,136133,2634,14,bright red,(top speed:174-cost new:162919)
183,207525,4492, ,ultraviolet red,(top speed:179-cost new:193725)
224,123523,1,15,glowing red,(top speed:189-cost new:145563)
205,185862,2992,11,bright red,(top speed:174-cost new:162919)
195,214984,5186,43,glowing red,(top speed:179-cost new:193725)
180,174011,3919,19,bright red,(top speed:189-cost new:145563)
147,214545,5452,16,0,(top speed:179-cost new:193725)
150,181633,5841,22,ultraviolet red,(top speed:179-cost new:193725)
184,184394,3616,12,glowing red,(top speed:179-cost new:193725)
158,228445,5177,12,black,(top speed:179-cost new:193725)
196,156208,5759,29,sunburst red,(top speed:179-cost new:193725)
181,143424,4650,45,sunburst red,(top speed:174-cost new:162919)
0,211310,4745,None,ultraviolet red,(top speed:179-cost new:193725)
None,193798,5409,54,sunburst red,(top speed:179-cost new:193725)
191,162875,4717,54,sunburst red,(top speed:189-cost new:145563)
220,163672,None,53,bright red,(top speed:189-cost new:145563)
156,171893,4580,50,sunburst red,(top speed:174-cost new:162919)
164,161249,5711,16,red,(top speed:179-cost new:193725)
211,145254,4674,47,black,(top speed:189-cost new:145563)
160,222956,5555,24,red,(top speed:179-cost new:193725)
186,157918,4079,16,bright red,(top speed:189-cost new:145563)
224,151857,2926,50,red,(top speed:189-cost new:145563)
161,168712,3941,None,bright red,(top speed:174-cost new:162919)
0,149873,3785,37,sunburst red,(top speed:189-cost new:145563)
164,166105,5122,10, ,(top speed:174-cost new:162919)
192,165543,3445,42,black,(top speed:179-cost new:193725)
158,151903,4412,38,sunburst red,(top speed:189-cost new:145563)
194,169844,2552,11,red,(top speed:189-cost new:145563)
186,134045,5330,48,sunburst red,(top speed:189-cost new:145563)
198,154623,5036,23,sunburst red,(top speed:174-cost new:162919)
222,124978,4750,11,sunburst red,(top speed:189-cost new:145563)
219,117263,3148,31,black,(top speed:189-cost new:145563)
184,183405,4310,42,bright red,(top speed:179-cost new:193725)
212,154122,3340,50,bright red,(top speed:189-cost new:145563)
164,220465,nan,25, ,(top speed:179-cost new:193725)
158,169680,4737,15,ultraviolet red,(top speed:189-cost new:145563)
150,171887,3300,12,red,(top speed:174-cost new:162919)
210,124234,2686,31,sunburst red,(top speed:189-cost new:145563)
194,124535,3029,18,bright red,(top speed:189-cost new:145563)
154,175950,3320,53,red,(top speed:179-cost new:193725)
168,144046,2519,53,ultraviolet red,(top speed:189-cost new:145563)
175,127192,2632,52,ultraviolet red,(top speed:189-cost new:145563)
171,None,5834,26,bright red,(top speed:189-cost new:145563)
218,144369,nan,38,bright red,(top speed:189-cost new:145563)
197,189939,3400,26,ultraviolet red,(top speed:174-cost new:162919)
223,168665,4532,23,sunburst red,(top speed:189-cost new:145563)
141,194050,1,40,black,(top speed:174-cost new:162919)
189,173028,4242,11,ultraviolet red,(top speed:189-cost new:145563)
163,146860,5313,53,bright red,(top speed:174-cost new:162919)
1,0,4419,31,ultraviolet red,(top speed:179-cost new:193725)
145,165785,2717,46,red,(top speed:174-cost new:162919)
168,193529, ,42,red,(top speed:179-cost new:193725)
155,1,2565,33,red,(top speed:189-cost new:145563)
222,161679,3125,41,glowing red,(top speed:189-cost new:145563)
197,155816,4441,27,red,(top speed:189-cost new:145563)
208,178981,3708,17,black,(top speed:179-cost new:193725)
194,165679,4547,44,black,(top speed:179-cost new:193725)
1,116986,4813,19,bright red,(top speed:174-cost new:162919)
181,192298,4215,42,ultraviolet red,(top speed:174-cost new:162919)
171,215796,5126,32,sunburst red,(top speed:179-cost new:193725)
197,176557,4285,53,bright red,(top speed:179-cost new:193725)
179,150787,3844,16,bright red,(top speed:189-cost new:145563)
202,125450,3271,39,red,(top speed:189-cost new:145563)
203,156306,2526,53,glowing red,(top speed:189-cost new:145563)
194,214213,2891,11,sunburst red,(top speed:179-cost new:193725)
210,194616,5076,27,ultraviolet red,(top speed:179-cost new:193725)
139,171314,4736,None,glowing red,(top speed:174-cost new:162919)
172,155311,3564,25,ultraviolet red,(top speed:179-cost new:193725)
211,205555,5360,16,glowing red,(top speed:179-cost new:193725)
163,153117,4569,17,glowing red,(top speed:189-cost new:145563)
nan,187590,5164,nan,ultraviolet red,(top speed:179-cost new:193725)
205,127953,4560,39,black,(top speed:189-cost new:145563)
167,140178,0,48,red,(top speed:174-cost new:162919)
197,205979,4248,47,glowing red,(top speed:179-cost new:193725)
155,207547,4442,53,black,(top speed:179-cost new:193725)
207,224346,4970,53,sunburst red,(top speed:179-cost new:193725)
173,143083,4455,23,glowing red,(top speed:174-cost new:162919)
205,136402,3381,19,red,(top speed:189-cost new:145563)
189,135216,3845,1,glowing red,(top speed:189-cost new:145563)
144,101552,3882,29,black,(top speed:174-cost new:162919)
201,126007,5099,32,ultraviolet red,(top speed:189-cost new:145563)
179,150491,5793,14,red,(top speed:174-cost new:162919)
213,169388,4235,31,black,(top speed:189-cost new:145563)
171,163264,4718,38,glowing red,(top speed:174-cost new:162919)
206,135141,5678,33,bright red,(top speed:189-cost new:145563)
209,168219,4347,52,bright red,(top speed:179-cost new:193725)
176,172361,3694,49,glowing red,(top speed:179-cost new:193725)
145,230779,5853,15,0,(top speed:179-cost new:193725)
191,166685,4728,38,glowing red,(top speed:179-cost new:193725)
156,77075,4252,37,ultraviolet red,(top speed:174-cost new:162919)
151,133473,4307,None,ultraviolet red,(top speed:189-cost new:145563)
187,144755,5552,47,glowing red,(top speed:174-cost new:162919)
161,137261,4499,27,red,(top speed:174-cost new:162919)
154,134121,4323,20,ultraviolet red,(top speed:174-cost new:162919)
151,175119,4092,20,ultraviolet red,(top speed:174-cost new:162919)
176,140756,5062,50,glowing red,(top speed:174-cost new:162919)
169,151707,4118,37,ultraviolet red,(top speed:189-cost new:145563)
173,187583,5997,17,sunburst red,(top speed:174-cost new:162919)
208,194201,2529,0,glowing red,(top speed:174-cost new:162919)
209,0,4941,24,sunburst red,(top speed:189-cost new:145563)
157,189429,5409,36,red,(top speed:174-cost new:162919)
189,125649,4302,32,black,(top speed:189-cost new:145563)
169,170795,3593,38,red,(top speed:179-cost new:193725)
147,132780,4852,35,glowing red,(top speed:174-cost new:162919)
168,67158,4199,41,bright red,(top speed:189-cost new:145563)
202,133640,3268,30,red,(top speed:189-cost new:145563)
127,195084,3551,39,sunburst red,(top speed:179-cost new:193725)
192,158589,4866,19,bright red,(top speed:179-cost new:193725)
203,204794,4608,41,bright red,(top speed:179-cost new:193725)
